SO,CORR,SAM,SPEAR
0.3354,0.6079897298108909,0.2910140179869874,-0.021475233475233474
0.2456,0.308498990629069,0.38889081766779693,-0.08591480591480592
0.3776,0.8338269508528835,0.18648098321803508,-0.053409917409917414
0.3098,0.645157508225799,0.2764571448926162,-0.053466245466245475
0.3094,0.6903779290728002,0.2562685727986267,0.022681738681738683
0.4484,0.8439653426680969,0.1798429135467565,0.007072387072387072
0.3928,0.6969563119366656,0.2532033832036262,0.08894227694227694
0.3624,0.7209411626826336,0.246506900028985,-0.022503886503886506
0.3673,0.8150760860237078,0.19717672298266367,0.04478837678837679
0.21,0.39120516875939493,0.37464112553331885,0.007180615180615181
0.4227,0.80504202852361,0.20179636565968417,-0.04882534882534883
0.4216,0.8374854817308399,0.18490000512530855,-0.1245005565005565
0.4129,0.7268047332645823,0.24044885585742476,0.05526163926163927
0.3694,0.6362425699031475,0.2768091225429647,0.20456700056700056
0.3568,0.7692036913994437,0.22276337809696045,0.07399422199422201
0.2784,0.49813086596340017,0.3329789877187989,-0.04828588828588829
0.424,0.8746784985723779,0.1608284993172624,-0.012492924492924495
0.3249,0.5682221437304158,0.3047565760342911,-0.04217850617850618
0.3376,0.4995229152171448,0.32834854425819016,0.09410499410499411
0.3963,0.7250122200163162,0.24224713033505849,-0.07250832050832051
0.4446,0.800272703937223,0.203846700279302,-0.013003993003993006
0.3149,0.5547022812723622,0.31309095389432046,-0.0883978963978964
0.4121,0.7874987022808768,0.21092434271804258,-0.017013917013917017
0.2609,0.08365971701738523,0.45913389658602605,-0.07570323970323972
0.2527,0.45625885413144074,0.3553535017155489,-0.060427008427008426
0.3872,0.7478234891132101,0.23061521269518273,-0.06127720927720928
0.386,0.7502812677821311,0.2294769764723709,-0.011444579444579446
0.3051,0.4706825342255576,0.3436355843188928,-0.07847583047583048
0.4164,0.711437937307857,0.24730040190615052,-0.019471039471039474
0.44,0.8135351249796365,0.19670963906963998,0.015524643524643526
0.3808,0.7034153618434468,0.25296620409466114,0.10708609108609109
0.3705,0.5563708722166291,0.3100113994528837,0.09554644754644756
0.4282,0.8584090366890775,0.17136719629166333,-0.010406998406998408
0.3623,0.6854582111303723,0.2592203702059728,0.010032346032346033
0.4081,0.6819623474929699,0.26094759856666216,0.033001797001797006
0.2398,0.23345152586573026,0.42450781734103943,0.0110984750984751
0.416,0.7662631048913595,0.22170222685087623,0.06896249696249697
0.3088,0.581252186876425,0.3020363655569904,0.032561624561624564
0.31,0.47131931729283927,0.3424466940507527,-0.06787914787914788
0.3638,0.44583927925393263,0.35221455176711997,0.031658179658179665
0.4674,0.5824999037283678,0.29693415723657945,0.15977594777594778
0.3903,0.7540941616289627,0.227890220483769,0.004795852795852796
0.2961,0.5317740559146505,0.32068915395371506,-0.028636888636888635
0.3955,0.7108389833906066,0.246441445053956,-0.011846987846987848
0.434,0.7723414950142939,0.21860106909201568,0.10349299949299949
0.4034,0.7921377459228113,0.20803951802270534,-0.09257778857778858
0.1882,0.158913173575744,0.4452407346834664,0.05848508248508248
0.418,0.8545884404631962,0.17347966172498813,-0.007664899664899666
0.3402,0.6637819642767601,0.268088927485065,-0.00255926655926656
0.418,0.839706277574084,0.18212287035779667,-0.01559069159069159
0.4204,0.6963537537734448,0.25399467843648715,-0.07317069717069717
0.4149,0.6593231098027894,0.2689915043949355,0.12222162222162225
0.4312,0.7681323044401294,0.21124499573004832,0.10646378246378246
0.4335,0.7871600563793943,0.21104375149681706,-0.0758993318993319
